barcode,product_name,brands,sugars_100g,fiber_100g,proteins_100g,quantity_grams,sugar_pct_dv,sugar_tier,high_sugar_flag,nutrition_grades,shelf_location,units_sold_last_month,sugar_pct_dv_scaled
3168930009078,Flocons d'avoine complète,Quaker,1.1,9,11,550.0,2.2,low,0,a,,,0.04230769230769231
20003166,,Crownfield,0.7,10,13.5,500.0,1.4,low,0,a,Aisle 1A,50,0.02692307692307692
5010477348630,Muesli 36% fruits noix & graines,Jordan,18.9,8.5,9.3,500.0,37.8,high,1,c,Aisle 4B,735,0.7269230769230769
3168930009795,Muesli Croustillant Noix de pécan & noix du Brésil,Quaker,13,13,11,500.0,26.0,high,1,b,Aisle 4B,241,0.5
7613035449626,NESTLE CHOCAPIC Céréales 645g,"Nestlé, Chocapic",19.9,7.7,8.5,645.0,39.8,high,1,b,Aisle 4B,273,0.7653846153846153
5010477348395,Country Crisp - Chocolat noir 70% cacao,Jordans,23,5.6,8.8,550.0,46.0,high,1,d,Endcap-South,840,0.8846153846153846
5010477348517,Country Crisp 4 Baies,Jordans,20,6,9.1,550.0,40.0,high,1,c,Aisle 1A,732,0.7692307692307693
3229820798110,Granola Chocolat,Bjorg,12,7.5,10,350.0,24.0,high,1,c,Endcap-South,455,0.46153846153846156
3229820797861,Croustillant 3 noix,Bjorg,14,9.9,11,450.0,28.000000000000004,high,1,b,Aisle 1A,592,0.5384615384615385
4008713713411,Copos de Avena extra suaves,Brüggen,0.7,10,14,800.0,1.4,low,0,a,Endcap-South,1033,0.02692307692307692
5059319023762,Miel Pops,KELLOG'S,22,4.6,5.2,330.0,44.0,high,1,c, Aisle 3C,323,0.8461538461538461
5010029229110,Crispy Minis Choco,Weetabix,17,10,10,500.0,34.0,high,1,b,Endcap-South,1165,0.6538461538461539
3421557501722,Muesli croustillant tradition,Terres et Céréales,20,5.9,9.1,1.0,40.0,high,1,c,Endcap-South,220,0.7692307692307693
3421557501975,Muesli croustillant duo pépites,Terres et Céréales Bio,25,7.6,9.2,100.0,50.0,high,1,c,Aisle 1A,199,0.9615384615384616
3229820786605,Crousti' Avoine Chocolat,Bjorg,14,9.5,10,500.0,28.000000000000004,high,1,c,,,0.5384615384615385
3168930003632,Quaker Oats,Quaker,1.1,9,11,800.0,2.2,low,0,a,Aisle 1A,974,0.04230769230769231
3229820116716,Muesli aux fruits,Bjorg,10,10,11,750.0,20.0,high,1,a,Aisle 1A,,0.38461538461538464
3229820796857,Flocons d'avoine,Bjorg,0,11,10.8333333333333,900.0,0.0,low,0,a,Aisle 1A,829,0.0
